"year","county","harv_ac"
2020,"Adams",153200
2019,"Adams",128200
2018,"Adams",147000
2017,"Adams",150000
2016,"Adams",162900
2015,"Adams",155000
2020,"Alexander",6560
2019,"Alexander",3300
2018,"Alexander",6700
2017,"Alexander",4900
2016,"Alexander",8500
2021,"Bond",71300
2020,"Bond",70300
2019,"Bond",59900
2017,"Bond",68000
2015,"Bond",69900
2021,"Boone",74100
2020,"Boone",75000
2019,"Boone",60500
2018,"Boone",70100
2017,"Boone",59600
2016,"Boone",67700
2015,"Boone",66600
2021,"Brown",37600
2020,"Brown",35300
2018,"Brown",34000
2017,"Brown",36600
2016,"Brown",40600
2015,"Brown",42600
2021,"Bureau",248000
2020,"Bureau",256500
2019,"Bureau",209500
2018,"Bureau",261000
2017,"Bureau",260000
2016,"Bureau",271500
2015,"Bureau",259500
2021,"Calhoun",19600
2020,"Calhoun",18400
2019,"Calhoun",18200
2017,"Calhoun",17500
2015,"Calhoun",20900
2021,"Carroll",125400
2020,"Carroll",131300
2019,"Carroll",128500
2018,"Carroll",130700
2017,"Carroll",145800
2016,"Carroll",145600
2015,"Carroll",145600
2021,"Cass",79000
2020,"Cass",80400
2019,"Cass",78200
2018,"Cass",81700
2017,"Cass",89400
2016,"Cass",99900
2015,"Cass",99100
2021,"Champaign",262000
2020,"Champaign",271500
2019,"Champaign",270500
2018,"Champaign",272000
2017,"Champaign",270000
2016,"Champaign",284500
2015,"Champaign",281000
2021,"Christian",188100
2020,"Christian",186500
2019,"Christian",187100
2018,"Christian",179400
2017,"Christian",188700
2016,"Christian",205500
2015,"Christian",203500
2021,"Clark",89500
2020,"Clark",93900
2018,"Clark",91500
2017,"Clark",89400
2015,"Clark",90700
2021,"Clay",73900
2020,"Clay",71600
2019,"Clay",61800
2018,"Clay",63500
2017,"Clay",71700
2016,"Clay",63100
2015,"Clay",79800
2021,"Clinton",92100
2020,"Clinton",96100
2019,"Clinton",72100
2018,"Clinton",83900
2017,"Clinton",83300
2016,"Clinton",91300
2015,"Clinton",82600
2021,"Coles",115500
2020,"Coles",113100
2019,"Coles",117400
2018,"Coles",113700
2017,"Coles",113200
2015,"Coles",121900
2021,"Cook",2860
2019,"Cook",1000
2016,"Cook",3000
2021,"Crawford",82300
2020,"Crawford",81500
2019,"Crawford",76700
2018,"Crawford",79700
2017,"Crawford",83200
2015,"Crawford",84400
2020,"Cumberland",61200
2019,"Cumberland",64500
2017,"Cumberland",61500
2016,"Cumberland",62700
2015,"Cumberland",67300
2021,"DeKalb",189900
2020,"DeKalb",202000
2019,"DeKalb",154200
2018,"DeKalb",202000
2017,"DeKalb",208000
2016,"DeKalb",217000
2015,"DeKalb",221000
2021,"DeWitt",99000
2020,"DeWitt",100700
2018,"DeWitt",101000
2017,"DeWitt",99600
2016,"DeWitt",105900
2015,"DeWitt",106500
2020,"Douglas",107900
2019,"Douglas",114100
2018,"Douglas",108400
2017,"Douglas",113100
2016,"Douglas",117200
2015,"Douglas",116300
2021,"Edgar",158900
2020,"Edgar",156600
2018,"Edgar",157500
2017,"Edgar",158900
2016,"Edgar",171600
2015,"Edgar",169700
2021,"Edwards",42700
2020,"Edwards",42300
2018,"Edwards",39600
2017,"Edwards",38200
2016,"Edwards",39700
2021,"Effingham",85300
2020,"Effingham",82900
2019,"Effingham",79700
2018,"Effingham",80600
2017,"Effingham",86000
2016,"Effingham",83300
2015,"Effingham",87400
2021,"Fayette",113000
2020,"Fayette",113400
2019,"Fayette",96300
2017,"Fayette",107000
2016,"Fayette",115600
2015,"Fayette",109800
2021,"Ford",133300
2020,"Ford",134000
2019,"Ford",135500
2018,"Ford",141200
2017,"Ford",135700
2016,"Ford",140800
2015,"Ford",143200
2021,"Franklin",37900
2020,"Franklin",35300
2019,"Franklin",22500
2018,"Franklin",26900
2017,"Franklin",33800
2016,"Franklin",29500
2015,"Franklin",38600
2021,"Fulton",129300
2020,"Fulton",132100
2019,"Fulton",127100
2018,"Fulton",132900
2017,"Fulton",118000
2016,"Fulton",121700
2015,"Fulton",129000
2021,"Gallatin",59400
2020,"Gallatin",61600
2019,"Gallatin",56900
2018,"Gallatin",54900
2017,"Gallatin",66500
2016,"Gallatin",72800
2015,"Gallatin",68900
2021,"Greene",105000
2020,"Greene",109500
2019,"Greene",101800
2018,"Greene",108000
2017,"Greene",109000
2016,"Greene",114600
2015,"Greene",115400
2021,"Grundy",101700
2020,"Grundy",96200
2019,"Grundy",84200
2018,"Grundy",99700
2017,"Grundy",101000
2016,"Grundy",104000
2015,"Grundy",104800
2020,"Hamilton",70000
2018,"Hamilton",68600
2017,"Hamilton",72100
2016,"Hamilton",58300
2021,"Hancock",162400
2020,"Hancock",165000
2018,"Hancock",167700
2017,"Hancock",160000
2016,"Hancock",174800
2015,"Hancock",165000
2021,"Hardin",1080
2020,"Henderson",96200
2019,"Henderson",88800
2018,"Henderson",88200
2017,"Henderson",92500
2016,"Henderson",98200
2015,"Henderson",96300
2021,"Henry",224500
2020,"Henry",224500
2019,"Henry",193500
2018,"Henry",223500
2017,"Henry",226500
2016,"Henry",232000
2015,"Henry",228000
2021,"Iroquois",314000
2020,"Iroquois",313000
2019,"Iroquois",3e+05
2018,"Iroquois",313000
2017,"Iroquois",321000
2016,"Iroquois",321500
2015,"Iroquois",339500
2021,"Jackson",32400
2020,"Jackson",31800
2019,"Jackson",25700
2018,"Jackson",25300
2017,"Jackson",24300
2016,"Jackson",30200
2020,"Jasper",96600
2019,"Jasper",96000
2018,"Jasper",90500
2017,"Jasper",99000
2016,"Jasper",90900
2015,"Jasper",101500
2021,"Jefferson",50700
2020,"Jefferson",50200
2019,"Jefferson",29000
2018,"Jefferson",40400
2017,"Jefferson",43700
2016,"Jefferson",39200
2015,"Jefferson",47600
2020,"Jersey",56900
2019,"Jersey",56000
2017,"Jersey",62000
2016,"Jersey",64800
2015,"Jersey",64000
2021,"Jo Daviess",95200
2020,"Jo Daviess",103400
2019,"Jo Daviess",95700
2018,"Jo Daviess",93100
2017,"Jo Daviess",87800
2016,"Jo Daviess",95100
2015,"Jo Daviess",93400
2020,"Johnson",6770
2017,"Johnson",5700
2016,"Johnson",6900
2021,"Kane",71000
2020,"Kane",74600
2019,"Kane",55000
2018,"Kane",74400
2017,"Kane",71300
2016,"Kane",72800
2015,"Kane",74300
2021,"Kankakee",173300
2020,"Kankakee",173400
2018,"Kankakee",175000
2017,"Kankakee",182300
2016,"Kankakee",182800
2015,"Kankakee",185800
2021,"Kendall",69500
2020,"Kendall",68400
2019,"Kendall",59300
2018,"Kendall",73500
2017,"Kendall",72900
2016,"Kendall",77300
2021,"Knox",154500
2020,"Knox",153800
2019,"Knox",152100
2018,"Knox",157400
2017,"Knox",150200
2016,"Knox",153700
2015,"Knox",160400
2020,"LaSalle",283000
2019,"LaSalle",243000
2018,"LaSalle",279500
2017,"LaSalle",277500
2016,"LaSalle",285000
2015,"LaSalle",286000
2021,"Lake",6310
2020,"Lake",8300
2019,"Lake",4800
2017,"Lake",7900
2016,"Lake",8400
2015,"Lake",7700
2021,"Lawrence",74800
2020,"Lawrence",71500
2019,"Lawrence",68500
2018,"Lawrence",68700
2017,"Lawrence",76600
2015,"Lawrence",74800
2021,"Lee",225500
2020,"Lee",243000
2019,"Lee",208000
2018,"Lee",233500
2017,"Lee",237500
2016,"Lee",256000
2015,"Lee",256000
2021,"Livingston",286500
2020,"Livingston",289500
2019,"Livingston",262500
2018,"Livingston",294000
2017,"Livingston",289500
2016,"Livingston",295500
2015,"Livingston",297000
2021,"Logan",165100
2020,"Logan",183100
2019,"Logan",180500
2018,"Logan",171300
2017,"Logan",182300
2016,"Logan",199300
2015,"Logan",194500
2021,"Macon",133200
2020,"Macon",146300
2019,"Macon",147300
2018,"Macon",147800
2017,"Macon",142600
2016,"Macon",156200
2015,"Macon",153800
2021,"Macoupin",174700
2020,"Macoupin",178300
2019,"Macoupin",176500
2018,"Macoupin",170500
2017,"Macoupin",179500
2016,"Macoupin",182400
2015,"Macoupin",185800
2021,"Madison",104100
2020,"Madison",104300
2019,"Madison",97600
2018,"Madison",101400
2017,"Madison",103600
2016,"Madison",108500
2015,"Madison",112100
2021,"Marion",78600
2020,"Marion",77500
2019,"Marion",60700
2018,"Marion",60600
2017,"Marion",71900
2016,"Marion",66800
2015,"Marion",76700
2021,"Marshall",93200
2020,"Marshall",91900
2019,"Marshall",96500
2018,"Marshall",95300
2017,"Marshall",96800
2016,"Marshall",101100
2015,"Marshall",98800
2021,"Mason",116300
2020,"Mason",119900
2019,"Mason",127000
2017,"Mason",116800
2016,"Mason",129800
2015,"Mason",132300
2020,"Massac",22000
2019,"Massac",21400
2017,"Massac",21200
2016,"Massac",24500
2015,"Massac",23800
2020,"McDonough",138100
2019,"McDonough",133700
2018,"McDonough",135900
2017,"McDonough",144100
2016,"McDonough",149700
2015,"McDonough",150500
2020,"McHenry",85000
2018,"McHenry",87300
2017,"McHenry",84500
2016,"McHenry",93800
2015,"McHenry",91000
2021,"McLean",313000
2020,"McLean",311500
2019,"McLean",310500
2018,"McLean",312000
2017,"McLean",305000
2016,"McLean",322500
2015,"McLean",317000
2021,"Menard",75400
2020,"Menard",77200
2017,"Menard",77800
2016,"Menard",81500
2015,"Menard",80000
2020,"Mercer",145300
2019,"Mercer",134500
2018,"Mercer",139400
2017,"Mercer",136600
2016,"Mercer",141600
2015,"Mercer",138000
2021,"Monroe",50700
2020,"Monroe",48800
2019,"Monroe",35800
2018,"Monroe",48600
2017,"Monroe",46100
2016,"Monroe",52300
2015,"Monroe",49200
2021,"Montgomery",154000
2020,"Montgomery",159500
2019,"Montgomery",150700
2018,"Montgomery",155300
2017,"Montgomery",156200
2016,"Montgomery",167000
2015,"Montgomery",162000
2020,"Morgan",131800
2019,"Morgan",130700
2018,"Morgan",129700
2017,"Morgan",131000
2016,"Morgan",146900
2015,"Morgan",144100
2021,"Moultrie",81000
2020,"Moultrie",84700
2019,"Moultrie",86600
2018,"Moultrie",86600
2017,"Moultrie",84700
2016,"Moultrie",89500
2015,"Moultrie",88200
2021,"Ogle",213500
2020,"Ogle",230500
2019,"Ogle",204000
2018,"Ogle",211500
2017,"Ogle",214000
2016,"Ogle",220000
2015,"Ogle",234000
2021,"Peoria",101200
2020,"Peoria",105300
2019,"Peoria",99900
2018,"Peoria",103000
2017,"Peoria",101800
2016,"Peoria",106300
2015,"Peoria",106100
2020,"Perry",45900
2018,"Perry",41500
2017,"Perry",44000
2016,"Perry",46100
2015,"Perry",48000
2021,"Piatt",122400
2020,"Piatt",120400
2019,"Piatt",130800
2018,"Piatt",121800
2017,"Piatt",132500
2016,"Piatt",136400
2015,"Piatt",139000
2020,"Pike",155900
2018,"Pike",148300
2017,"Pike",149500
2016,"Pike",175400
2015,"Pike",171100
2020,"Pope",6480
2016,"Pope",7500
2015,"Pope",7400
2021,"Pulaski",16400
2020,"Pulaski",15000
2019,"Pulaski",13400
2017,"Pulaski",13200
2016,"Pulaski",16800
2015,"Pulaski",18500
2021,"Putnam",31800
2020,"Putnam",32500
2018,"Putnam",32000
2017,"Putnam",34000
2016,"Putnam",37000
2015,"Putnam",35300
2021,"Randolph",64900
2020,"Randolph",62000
2019,"Randolph",51400
2018,"Randolph",58100
2017,"Randolph",60100
2016,"Randolph",65300
2015,"Randolph",57500
2020,"Richland",73100
2018,"Richland",68200
2017,"Richland",74000
2016,"Richland",70900
2015,"Richland",76000
2021,"Rock Island",66600
2020,"Rock Island",65500
2018,"Rock Island",66000
2017,"Rock Island",63300
2016,"Rock Island",59700
2015,"Rock Island",67100
2021,"Saline",48600
2020,"Saline",45700
2018,"Saline",37600
2017,"Saline",42200
2016,"Saline",41900
2015,"Saline",44300
2021,"Sangamon",191000
2020,"Sangamon",220000
2019,"Sangamon",221000
2018,"Sangamon",189100
2017,"Sangamon",206500
2016,"Sangamon",229500
2015,"Sangamon",228000
2021,"Schuyler",59700
2020,"Schuyler",60900
2019,"Schuyler",54600
2018,"Schuyler",62500
2017,"Schuyler",64900
2016,"Schuyler",71600
2015,"Schuyler",70100
2021,"Scott",49200
2020,"Scott",53600
2017,"Scott",47100
2016,"Scott",55000
2015,"Scott",51100
2021,"Shelby",162400
2020,"Shelby",171600
2019,"Shelby",165300
2018,"Shelby",167700
2017,"Shelby",165800
2016,"Shelby",176000
2015,"Shelby",179500
2021,"St. Clair",91100
2020,"St. Clair",93500
2019,"St. Clair",84900
2018,"St. Clair",89900
2017,"St. Clair",86900
2016,"St. Clair",94700
2015,"St. Clair",83800
2021,"Stark",85000
2020,"Stark",86700
2019,"Stark",90400
2018,"Stark",86300
2017,"Stark",91500
2016,"Stark",97200
2015,"Stark",90400
2021,"Stephenson",154000
2020,"Stephenson",161100
2019,"Stephenson",158400
2018,"Stephenson",157700
2017,"Stephenson",164900
2016,"Stephenson",175400
2015,"Stephenson",168600
2021,"Tazewell",141100
2020,"Tazewell",138600
2019,"Tazewell",138800
2018,"Tazewell",137200
2017,"Tazewell",142700
2016,"Tazewell",144000
2015,"Tazewell",147900
2021,"Union",11500
2020,"Union",11600
2019,"Union",8200
2017,"Union",9700
2016,"Union",13200
2021,"Vermilion",210500
2020,"Vermilion",215500
2018,"Vermilion",215000
2017,"Vermilion",214000
2016,"Vermilion",224500
2015,"Vermilion",224500
2021,"Wabash",48000
2020,"Wabash",50300
2019,"Wabash",41700
2017,"Wabash",46600
2016,"Wabash",45500
2015,"Wabash",42800
2020,"Warren",149300
2019,"Warren",151500
2018,"Warren",147400
2017,"Warren",152700
2016,"Warren",161800
2015,"Warren",157100
2021,"Washington",100700
2020,"Washington",97700
2019,"Washington",82600
2018,"Washington",91700
2017,"Washington",96600
2016,"Washington",98300
2015,"Washington",95600
2020,"Wayne",127300
2018,"Wayne",109300
2017,"Wayne",109000
2021,"White",93500
2020,"White",92600
2019,"White",68900
2018,"White",82700
2017,"White",78200
2016,"White",83600
2015,"White",82800
2021,"Whiteside",213500
2020,"Whiteside",223000
2019,"Whiteside",186800
2018,"Whiteside",223000
2017,"Whiteside",221000
2016,"Whiteside",233000
2015,"Whiteside",229500
2021,"Will",88000
2020,"Will",89200
2018,"Will",91600
2017,"Will",85800
2015,"Will",97100
2020,"Williamson",18500
2019,"Williamson",14500
2018,"Williamson",17000
2017,"Williamson",14200
2016,"Williamson",13400
2015,"Williamson",16100
2021,"Winnebago",84100
2020,"Winnebago",90500
2019,"Winnebago",80300
2018,"Winnebago",90600
2017,"Winnebago",73600
2016,"Winnebago",80100
2015,"Winnebago",80000
2021,"Woodford",116000
2020,"Woodford",121900
2019,"Woodford",121300
2018,"Woodford",122900
2017,"Woodford",128100
2016,"Woodford",133200
2015,"Woodford",127700
