Year,Crop,FIPS,State,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2018,corn,69,illinois,hardin,9,12.36,12.8,0,0,NA,0,0,NA,1,11.1,15,8,88.9,12.03
2018,soybean,69,illinois,hardin,24,11.81,14.25,3,12.5,1.26,0,0,NA,5,20.8,8.09,16,66.7,14.95
2017,corn,69,illinois,hardin,12,4.37,10.96,7,58.3,2.63,0,0,NA,0,0,NA,5,41.7,6.81
2017,soybean,69,illinois,hardin,26,4.56,10.8,17,65.4,1.95,2,7.7,2,0,0,NA,7,26.9,11.65
2015,corn,71,illinois,henderson,343,3.7,8.5,56,16.3,1.2,149,43.4,2.7,102,29.7,5.1,36,10.5,7.8
2015,soybean,71,illinois,henderson,199,1.7,6.4,91,45.7,0.9,92,46.2,1.8,10,5,6.1,6,3,4.2
2018,corn,71,illinois,henderson,316,3.61,7.53,38,12,2.12,126,39.9,3.19,137,43.4,4.25,15,4.7,4.98
2018,soybean,71,illinois,henderson,209,1.63,6.1,84,40.2,1.05,100,47.8,1.98,24,11.5,2.01,1,0.5,7.46
2017,corn,71,illinois,henderson,328,4.65,8.87,71,21.6,1.79,73,22.3,2.94,119,36.3,5.57,65,19.8,8.02
2017,soybean,71,illinois,henderson,202,1.93,6.21,87,43.1,1.06,53,26.2,2,34,16.8,2.4,28,13.9,3.96
2015,corn,73,illinois,henry,335,3.3,7.9,154,46,2.4,58,17.3,1.9,61,18.2,4.1,62,18.5,6.3
2015,soybean,73,illinois,henry,247,1.6,6.5,97,39.3,0.8,124,50.2,1.7,18,7.3,3.3,8,3.2,7.3
2018,corn,73,illinois,henry,326,2.82,8.51,144,44.2,0.92,74,22.7,2.51,59,18.1,3.81,48,14.7,7.84
2018,soybean,73,illinois,henry,269,1.2,6.86,102,37.9,0.89,139,51.7,1.18,24,8.9,2.38,3,1.1,2.2
2017,corn,73,illinois,henry,347,3.33,7.37,128,36.9,1.22,30,8.6,2.27,77,22.2,4.29,112,32.3,5.38
2017,soybean,73,illinois,henry,242,2.17,7.7,61,25.2,0.93,137,56.6,1.83,24,9.9,3.76,20,8.3,6.32
2015,corn,75,illinois,iroquois,225,1.6,2.5,14,6.2,0.2,68,30.2,0.5,72,32,1.5,71,31.6,3.1
2015,soybean,75,illinois,iroquois,219,0.3,1.6,86,39.3,0.1,118,53.9,0.3,14,6.4,0.9,1,50,1.7
2018,corn,75,illinois,iroquois,229,2.1,2.68,14,6.1,0.42,22,9.6,0.53,57,24.9,1.58,136,59.4,2.74
2018,soybean,75,illinois,iroquois,210,0.51,1.66,64,30.5,0.15,109,51.9,0.38,27,12.9,0.91,10,4.8,3.2
2017,corn,75,illinois,iroquois,228,2.24,2.6,18,7.9,0.31,11,4.8,0.8,48,21.1,1.35,151,66.2,2.85
2017,soybean,75,illinois,iroquois,212,0.61,1.67,56,26.4,0.12,81,38.2,0.52,50,23.6,0.67,25,11.8,1.93
2015,corn,77,illinois,jackson,105,4.7,9.7,31,29.5,2.5,16,15.2,3.4,23,21.9,4.7,35,33.3,7.3
2015,soybean,77,illinois,jackson,219,3.1,7,85,38.8,1.7,42,19.2,2,36,16.4,5,56,25.6,5
2018,corn,77,illinois,jackson,104,7.37,9.43,21,20.2,2.35,1,1,1.16,2,1.9,8.3,80,76.9,8.74
2018,soybean,77,illinois,jackson,206,4.17,7.56,73,35.4,2.87,15,7.3,1.86,14,6.8,5.95,104,50.5,5.17
2017,corn,77,illinois,jackson,70,5.37,12.01,22,31.4,3.23,7,10,3.57,28,40,7.13,13,18.6,6.19
2017,soybean,77,illinois,jackson,140,2.8,8.58,79,56.4,1.42,16,11.4,2.07,32,22.9,3.39,13,9.3,10.61
2015,corn,79,illinois,jasper,278,3.8,4.5,19,6.8,0.6,8,2.9,1.9,35,12.6,3.1,216,77.7,4.2
2015,soybean,79,illinois,jasper,284,1.2,2.6,59,20.8,0.4,97,34.2,0.8,82,28.9,1.2,46,16.2,2.9
2018,corn,79,illinois,jasper,271,3.98,4.6,22,8.1,1.31,5,1.8,0.98,9,3.3,3.25,235,86.7,4.32
2018,soybean,79,illinois,jasper,282,1.24,2.57,71,25.2,0.41,62,22,1.06,83,29.4,1.21,66,23.4,2.33
2017,corn,79,illinois,jasper,270,3.83,4.4,18,6.7,1,5,1.9,1.35,22,8.1,2.89,225,83.3,4.21
2017,soybean,79,illinois,jasper,291,1.46,2.92,60,20.6,0.41,67,23,1.13,81,27.8,1.42,83,28.5,2.52
2015,corn,81,illinois,jefferson,146,10.9,12.4,9,6.2,2.8,7,4.8,3.4,9,6.2,5.8,121,82.9,12.3
2015,soybean,81,illinois,jefferson,246,6,9.5,53,21.1,3,44,17.9,2.7,48,19.5,5.1,101,41.1,9.5
2018,corn,81,illinois,jefferson,119,8.69,11.76,11,9.2,3.31,7,5.9,3,40,33.6,7.43,61,51.3,11.14
2018,soybean,81,illinois,jefferson,271,4.33,10.34,141,52,2.83,47,17.3,3.2,53,19.6,6.28,30,11.1,9.75
2017,corn,81,illinois,jefferson,112,7.89,10.82,6,5.4,1.62,15,13.4,3.58,32,28.6,7.33,59,52.7,9.92
2017,soybean,81,illinois,jefferson,287,4.7,10.21,109,38,3.33,73,25.4,2.41,54,18.8,6.23,51,17.8,9.27
2015,corn,83,illinois,jersey,245,5,8.9,55,22.4,1.8,43,17.6,2.9,63,25.7,5.3,84,34.3,8
2015,soybean,83,illinois,jersey,168,1.5,7.8,98,58.3,0.7,47,28,2.2,16,9.5,3.1,7,4.2,4.2
2018,corn,83,illinois,jersey,209,4.72,8.81,39,18.7,2.15,45,21.5,2.8,64,30.6,5.17,61,29.2,7.31
2018,soybean,83,illinois,jersey,202,2.03,8.67,105,52,0.78,66,32.7,2.73,25,12.4,4.45,6,3,6.1
2017,corn,83,illinois,jersey,255,4.35,9.02,65,25.5,1.9,54,21.2,2.67,81,31.8,5.54,55,21.6,7.13
2017,soybean,83,illinois,jersey,159,1.81,8.53,82,51.6,0.73,61,38.4,2.03,5,3.1,3.66,11,6.9,7.82
2015,corn,85,illinois,jo daviess,306,2.7,9.5,145,47.4,1.6,138,45.1,3.2,9,2.9,3.9,14,4.6,9.8
2015,soybean,85,illinois,jo daviess,65,1.5,9.2,49,75.4,1.4,15,23.1,1.7,0,0,0,1,1.5,4.6
2018,corn,85,illinois,jo daviess,242,5.01,9.56,37,15.3,1.01,109,45,4.09,39,16.1,6.93,57,23.6,8.05
2018,soybean,85,illinois,jo daviess,115,2.63,10.2,52,45.2,1.21,53,46.1,2.86,6,5.2,9.17,4,3.5,8.32
2017,corn,85,illinois,jo daviess,265,3.1,9.66,105,39.6,1.78,117,44.2,2.43,21,7.9,5.82,22,8.3,10.36
2017,soybean,85,illinois,jo daviess,102,2.04,9.66,62,60.8,1.26,26,25.5,2.26,4,3.9,3.59,10,9.8,5.7
2015,corn,87,illinois,johnson,28,9.1,22.5,13,46.4,5.6,8,28.6,6,7,25,19.3,0,0,0
2015,soybean,87,illinois,johnson,44,3.6,14.3,34,77.3,1.7,1,2.3,7.7,6,13.6,7.8,3,6.8,16.2
2018,corn,87,illinois,johnson,14,11.68,18.38,11,78.6,11.09,0,0,NA,2,14.3,7.33,1,0,26.76
2018,soybean,87,illinois,johnson,64,5.49,16.34,46,71.9,3,6,9.4,4.35,9,14.1,12.12,3,4.7,26.06
2017,corn,87,illinois,johnson,25,8.89,18.74,6,24,2.69,9,36,6.56,8,32,14.54,2,8,15.41
2017,soybean,87,illinois,johnson,57,4.62,15.32,39,68.4,1.72,6,10.5,3.23,7,12.3,8,5,8.8,24.12
2015,corn,89,illinois,kane,159,2.2,2.7,10,6.3,1,27,17,0.6,30,18.9,1.3,92,57.9,3.1
2015,soybean,89,illinois,kane,119,1,2.3,32,26.9,0.5,43,36.1,0.7,32,26.9,1.4,12,10.1,2.3
2018,corn,89,illinois,kane,140,2,2.48,9,6.4,0.86,17,12.1,0.83,22,15.7,1.28,92,65.7,2.49
2018,soybean,89,illinois,kane,141,1.18,2.71,33,23.4,0.54,67,47.5,0.86,26,18.4,1.8,15,10.6,2.99
2017,corn,89,illinois,kane,166,2.65,3.11,16,9.6,0.47,11,6.6,0.8,24,14.5,1.75,115,69.3,3.31
2017,soybean,89,illinois,kane,112,1.06,2.19,27,24.1,0.33,29,25.9,0.7,35,31.3,1.19,21,18.8,2.27
2015,corn,91,illinois,kankakee,274,0.9,1.3,20,7.3,0.3,91,33.2,0.4,54,19.7,0.7,109,39.8,1.6
2015,soybean,91,illinois,kankakee,187,0.2,1.1,110,58.8,0.1,56,29.9,0.3,14,7.5,0.5,7,3.7,1.1
2018,corn,91,illinois,kankakee,258,1.19,1.37,10,3.9,0.4,25,9.7,0.43,46,17.8,0.68,177,68.6,1.48
2018,soybean,91,illinois,kankakee,204,0.4,1.18,82,40.2,0.27,66,32.4,0.37,44,21.6,0.49,12,5.9,1.17
2017,corn,91,illinois,kankakee,237,1.16,1.33,27,11.4,0.27,21,8.9,0.31,28,11.8,0.78,161,67.9,1.48
2017,soybean,91,illinois,kankakee,220,0.45,1.09,96,43.6,0.13,57,25.9,0.36,27,12.3,0.75,40,18.2,1.14
2015,corn,93,illinois,kendall,272,1.8,2.4,1,0.4,0.1,46,16.9,0.7,131,48.2,1.4,94,34.6,2.8
2015,soybean,93,illinois,kendall,194,0.7,2,68,35.1,0.2,65,33.5,0.7,50,25.8,1.1,11,5.7,2.5
2018,corn,93,illinois,kendall,257,2.09,2.61,1,0.4,0.14,13,5.1,0.65,124,48.2,1.63,119,46.3,2.75
2018,soybean,93,illinois,kendall,200,0.65,1.75,72,36,0.19,66,33,0.53,57,28.5,1.18,5,2.5,2.99
2017,corn,93,illinois,kendall,257,1.87,2.38,7,2.7,0.24,22,8.6,0.75,101,39.3,1.43,127,49.4,2.49
2017,soybean,93,illinois,kendall,205,0.78,1.93,78,38,0.19,55,26.8,0.71,52,25.4,1.27,20,9.8,2.04
2015,corn,95,illinois,knox,204,2.4,5.9,50,24.5,1.5,123,60.3,2.4,30,14.7,3.9,1,0.5,2.5
2015,soybean,95,illinois,knox,167,0.9,4.4,121,72.5,0.6,41,24.6,1.7,5,3,3.2,0,0,0
2018,corn,95,illinois,knox,237,1.81,5.55,74,31.2,0.92,135,57,2.01,24,10.1,2.93,4,1.7,4.91
2018,soybean,95,illinois,knox,192,1.16,5.19,149,77.6,0.82,37,19.3,2.02,6,3.1,4.25,0,0,NA
2017,corn,95,illinois,knox,229,2.77,6.32,57,24.9,1.44,93,40.6,2.3,75,32.8,4.04,4,1.7,8.93
2017,soybean,95,illinois,knox,201,1.01,4.4,144,71.6,0.77,49,24.4,1.51,8,4,2.37,0,0,NA
2015,corn,97,illinois,lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,soybean,97,illinois,lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,corn,97,illinois,lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,soybean,97,illinois,lake,,,,,0,,,0,,,0,,,0,
2017,corn,97,illinois,lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,soybean,97,illinois,lake,NA,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA
2015,corn,99,illinois,la salle,237,2.2,3,45,19,0.2,24,10.1,1,17,7.2,1.9,151,63.7,3.1
2015,soybean,99,illinois,la salle,201,0.9,2.1,74,36.8,0.2,55,27.4,0.7,32,15.9,1.2,40,19.9,2.2
2018,corn,99,illinois,la salle,229,2.21,2.86,33,14.4,0.25,14,6.1,0.72,26,11.4,1.98,156,68.1,2.8
2018,soybean,99,illinois,la salle,211,1.08,2.36,75,35.5,0.3,62,29.4,0.69,23,10.9,1.45,51,24.2,2.53
2017,corn,99,illinois,la salle,237,2.78,3.02,22,9.3,0.19,0,0,NA,5,2.1,1.81,210,88.6,3.08
2017,soybean,99,illinois,la salle,208,1.36,2.25,77,37,0.25,0,0,NA,27,13,1.36,104,50,2.19
2015,corn,101,illinois,lawrence,246,5.1,7.3,21,8.5,1.4,27,11,1.7,67,27.2,4.6,131,53.3,6.6
2015,soybean,101,illinois,lawrence,282,1,4,106,37.6,0.7,116,41.1,0.8,36,12.8,1.6,24,8.5,2.3
2018,corn,101,illinois,lawrence,233,4.43,7.26,18,7.7,1.56,19,8.2,2.52,133,57.1,4.64,63,27,5.36
2018,soybean,101,illinois,lawrence,295,1.38,4.28,131,44.4,0.83,63,21.4,1.25,63,21.4,2.17,38,12.9,2.14
2017,corn,101,illinois,lawrence,252,4.08,7.06,32,12.7,1.58,32,12.7,2.13,112,44.4,4.22,76,30.2,5.75
2017,soybean,101,illinois,lawrence,273,1.21,4.25,114,41.8,0.78,76,27.8,1.09,48,17.6,1.87,35,12.8,1.95
2015,corn,103,illinois,lee,367,1.2,2.6,6,1.6,0.1,284,77.4,1,69,18.8,1.9,8,2.2,2.9
2015,soybean,103,illinois,lee,147,0.8,2.4,24,16.3,0.3,102,69.4,0.8,18,12.2,1.3,3,2,2.1
2018,corn,103,illinois,lee,337,1.33,2.66,21,6.2,0.25,165,49,0.69,97,28.8,1.72,54,16,3.01
2018,soybean,103,illinois,lee,166,0.78,2.64,38,22.9,0.42,102,61.4,0.67,20,12,1.26,6,3.6,3.28
2017,corn,103,illinois,lee,353,1.71,2.54,3,0.8,0.44,187,53,1.11,33,9.3,1.6,130,36.8,2.62
2017,soybean,103,illinois,lee,172,1.1,2.42,21,12.2,0.36,113,65.7,0.89,5,2.9,1.41,33,19.2,2.24
2015,corn,105,illinois,livingston,235,3.3,4,16,6.8,0.7,29,12.3,0.7,39,16.6,2.4,151,64.3,4.2
2015,soybean,105,illinois,livingston,204,0.7,2.6,90,44.1,0.2,82,40.2,0.8,21,10.3,1.2,11,5.4,3.3
2018,corn,105,illinois,livingston,302,2.88,3.77,38,12.6,0.65,40,13.2,0.82,27,8.9,2.56,197,65.2,3.77
2018,soybean,105,illinois,livingston,290,0.9,2.59,47,16.2,0.42,181,62.4,0.67,38,13.1,1.29,24,8.3,3
2017,corn,105,illinois,livingston,226,3.56,4.03,10,4.4,0.95,10,4.4,0.76,31,13.7,2.08,175,77.4,4.13
2017,soybean,105,illinois,livingston,213,0.86,2.52,77,36.2,0.23,75,35.2,0.71,42,19.7,1.36,19,8.9,2.93
2015,corn,107,illinois,logan,299,2,4.6,89,29.8,1.1,41,13.7,0.9,168,56.2,2.8,1,0.3,3
2015,soybean,107,illinois,logan,233,0.8,3.5,113,48.5,0.6,79,33.9,0.8,40,17.2,1.5,1,0.4,1.7
2018,corn,107,illinois,logan,301,1.99,4.79,109,36.2,0.9,60,19.9,0.82,117,38.9,3.09,15,5,6.13
2018,soybean,107,illinois,logan,261,0.86,3.73,79,30.3,0.5,152,58.2,0.92,29,11.1,1.55,1,0.4,1.64
2017,corn,107,illinois,logan,289,2.14,4.69,80,27.7,0.93,53,18.3,1.09,125,43.3,2.68,31,10.7,4.91
2017,soybean,107,illinois,logan,269,1.05,3.57,113,42,0.55,82,30.5,0.98,68,25.3,1.81,6,2.2,2.66
2015,corn,115,illinois,macon,306,3.6,4.7,3,1,0.7,50,16.3,1,94,30.7,3,159,52,4.8
2015,soybean,115,illinois,macon,255,1.2,3.4,42,16.5,0.5,173,67.8,1,33,12.9,2,7,2.7,3.9
2018,corn,115,illinois,macon,291,4.16,4.55,1,0.3,0.25,19,6.5,0.96,20,6.9,3.42,251,86.3,4.48
2018,soybean,115,illinois,macon,258,1.38,3.35,44,17.1,0.38,118,45.7,0.84,73,28.3,1.94,23,8.9,4.27
2017,corn,115,illinois,macon,288,3.45,4.49,20,6.9,1,32,11.1,1.04,82,28.5,2.57,154,53.5,4.73
2017,soybean,115,illinois,macon,296,1.53,3.56,51,17.2,0.53,102,34.5,1.01,122,41.2,1.94,21,7.1,4.19
2015,corn,117,illinois,macoupin,241,3.2,4.1,7,2.9,1.3,42,17.4,1.1,43,17.8,2.5,149,61.8,4
2015,soybean,117,illinois,macoupin,203,1.3,3.1,53,26.1,0.7,75,36.9,1.1,32,40,0.5,43,60,1
2018,corn,117,illinois,macoupin,354,4,4.61,14,4,0.61,32,9,0.74,52,14.7,2.73,256,72.3,4.86
2018,soybean,117,illinois,macoupin,334,1.14,2.92,78,23.4,0.37,136,40.7,0.77,82,24.6,1.38,38,11.4,3.47
2017,corn,117,illinois,macoupin,231,3.78,4.39,3,1.3,0.88,17,7.4,0.91,51,22.1,2.45,160,69.3,4.56
2017,soybean,117,illinois,macoupin,210,1.23,2.84,33,15.7,0.33,82,39,0.99,54,25.7,1.44,41,19.5,2.15
2015,corn,119,illinois,madison,187,8.6,9.5,2,1.1,1.1,5,2.7,1.4,39,20.9,5,141,75.4,10
2015,soybean,119,illinois,madison,134,1.4,3.9,26,19.4,0.4,49,36.6,1.3,48,35.8,1.7,11,8.2,3.2
2018,corn,119,illinois,madison,166,4.76,5.23,1,0.6,0.46,9,5.4,0.95,28,16.9,2.7,128,77.1,5.51
2018,soybean,119,illinois,madison,167,2.42,4.61,4,2.4,0.25,75,44.9,0.97,57,34.1,2.31,31,18.6,6.42
2017,corn,119,illinois,madison,178,5.27,6.04,1,0.6,3.58,4,2.2,2.03,35,19.7,5.02,138,77.5,5.44
2017,soybean,119,illinois,madison,162,3.41,7.06,54,33.3,1.92,19,11.7,2.79,52,32.1,3.54,37,22.8,5.71
2015,corn,121,illinois,marion,196,4.7,5.5,9,4.6,1.1,5,2.6,1.5,24,12.2,4.1,158,80.6,5.1
2015,soybean,121,illinois,marion,223,1.2,2.8,47,21.1,0.3,83,37.2,0.7,37,16.6,1.3,56,25.1,2.6
2018,corn,121,illinois,marion,149,3.57,4.02,10,6.7,0.87,3,2,1.38,7,4.7,1.59,129,86.6,3.94
2018,soybean,121,illinois,marion,244,1.47,3.48,84,34.4,0.58,68,27.9,0.8,37,15.2,1.74,55,22.5,3.49
2017,corn,121,illinois,marion,158,4.65,4.96,2,1.3,0.96,5,3.2,1.3,11,7,1.87,140,88.6,5.04
2017,soybean,121,illinois,marion,255,1.51,2.77,46,18,0.2,63,24.7,0.83,51,20,1.42,95,37.3,2.66
2015,corn,123,illinois,marshall,286,1.6,4.8,88,30.8,1.1,151,52.8,1.1,0,0,0,47,16.4,4.2
2015,soybean,123,illinois,marshall,234,1.6,4.4,106,45.3,1.1,101,43.2,1.3,0,0,0,27,11.5,4.7
2018,corn,123,illinois,marshall,346,1.23,4.67,79,22.8,0.6,161,46.5,0.96,104,30.1,2.1,2,0.6,3.57
2018,soybean,123,illinois,marshall,188,0.78,3.46,62,33,0.37,81,43.1,0.79,44,23.4,1.32,1,0.5,1.42
2017,corn,123,illinois,marshall,322,2.39,5.17,49,15.2,1.24,112,34.8,1.24,149,46.3,3.62,12,3.7,2.59
2017,soybean,123,illinois,marshall,204,1.08,3.22,61,29.9,0.67,110,53.9,1.03,28,13.7,1.65,5,2.5,4.06
2015,corn,125,illinois,mason,362,3,5.4,35,9.7,1.2,69,19.1,1.2,255,70.4,3.7,3,0.8,4.4
2015,soybean,125,illinois,mason,186,1,3.7,78,41.9,0.6,45,24.2,1.3,60,32.3,1.2,3,1.6,3.5
2018,corn,125,illinois,mason,299,2.51,5.24,19,6.4,2.1,85,28.4,1.16,193,64.5,3.14,2,0.7,2.88
2018,soybean,125,illinois,mason,230,1.01,3.82,99,43,0.69,81,35.2,1.13,50,21.7,1.44,0,0,NA
2017,corn,125,illinois,mason,317,2.83,5.01,48,15.1,0.77,33,10.4,1.03,207,65.3,3.41,29,9.1,4.18
2017,soybean,125,illinois,mason,223,1.06,3.62,72,32.3,0.56,78,35,1.23,67,30,1.27,6,2.7,2.47
2015,corn,127,illinois,massac,124,5.4,10.8,66,53.2,2.1,7,5.6,6.7,7,5.6,12.1,44,35.5,9
2015,soybean,127,illinois,massac,128,1.9,7.4,93,72.7,0.8,15,11.7,2.9,6,4.7,1.9,14,10.9,7.8
2018,corn,127,illinois,massac,92,3.87,9.39,58,63,1.94,6,6.5,6.64,2,2.2,3.2,26,28.3,7.57
2018,soybean,127,illinois,massac,173,1.35,8.72,147,85,1.09,10,5.8,2.2,2,1.2,3.43,14,8.1,3.18
2017,corn,127,illinois,massac,110,4.69,9.67,58,52.7,2.13,2,1.8,9.1,5,4.5,4.23,45,40.9,7.83
2017,soybean,127,illinois,massac,159,1.36,7.24,135,84.9,0.7,2,1.3,3.79,2,1.3,1.54,20,12.6,5.55
2015,corn,109,illinois,mcdonough,237,4.9,8.1,34,14.3,2.4,94,39.7,3.2,52,21.9,5.9,57,24.1,8.4
2015,soybean,109,illinois,mcdonough,233,2,6.8,79,33.9,0.6,112,48.1,1.9,19,8.2,3.3,23,9.9,6.6
2018,corn,109,illinois,mcdonough,248,5.2,7.6,73,29.4,2.98,26,10.5,3.23,74,29.8,5.72,75,30.2,7.55
2018,soybean,109,illinois,mcdonough,223,1.8,7.4,126,56.5,0.8,65,29.1,2.05,26,11.7,4.65,6,2.7,7.96
2017,corn,109,illinois,mcdonough,257,6.02,7.62,13,5.1,2.01,24,9.3,3.52,94,36.6,4.58,126,49,7.99
2017,soybean,109,illinois,mcdonough,217,1.97,6.67,89,41,0.58,77,35.5,1.87,40,18.4,3.75,11,5.1,7.43
2015,corn,111,illinois,mchenry,209,5,7.4,31,14.8,2.3,61,29.2,2.2,33,15.8,4.1,84,40.2,8.4
2015,soybean,111,illinois,mchenry,136,1.7,6.1,58,42.6,0.6,59,43.4,1.9,11,8.1,3,8,5.9,5.8
2018,corn,111,illinois,mchenry,209,4.76,7.82,60,28.7,2.39,55,26.3,2.33,0,0,NA,94,45,7.69
2018,soybean,111,illinois,mchenry,142,1.59,5.69,40,28.2,0.79,85,59.9,1.3,0,0,NA,17,12,4.95
2017,corn,111,illinois,mchenry,198,5.58,7.42,30,15.2,1.86,27,13.6,3.72,31,15.7,3.83,110,55.6,7.54
2017,soybean,111,illinois,mchenry,153,2.68,6.38,54,35.3,0.63,26,17,1.8,37,24.2,3.48,36,23.5,5.57
2015,corn,113,illinois,mclean,260,5.4,7.3,5,1.9,1.7,72,27.7,3.6,94,36.2,5.9,89,34.2,6.6
2015,soybean,113,illinois,mclean,208,1.5,6,53,25.5,0.5,128,61.5,1.3,20,9.6,4.1,7,3.4,6.4
2018,corn,113,illinois,mclean,310,5.99,8.47,28,9,1.64,98,31.6,4.32,102,32.9,7.05,82,26.5,8.14
2018,soybean,113,illinois,mclean,375,1.22,6.13,139,37.1,0.54,211,56.3,1.38,20,5.3,3.21,5,1.3,5.71
2017,corn,113,illinois,mclean,255,6.79,8.05,9,3.5,2.23,39,15.3,3.48,73,28.6,5.97,134,52.5,8.51
2017,soybean,113,illinois,mclean,228,1.48,5.72,86,37.7,0.5,112,49.1,1.3,18,7.9,3.97,12,5.3,6.37
2015,corn,129,illinois,menard,271,3,7.6,57,21,1.8,70,25.8,1.5,144,53.1,4.2,0,0,0
2015,soybean,129,illinois,menard,181,1,5.4,114,63,0.8,54,29.8,1.1,12,6.6,2.2,1,0.6,1
2018,corn,129,illinois,menard,232,2.77,6.9,95,40.9,1.12,34,14.7,1.61,73,31.5,4.06,30,12.9,6.18
2018,soybean,129,illinois,menard,228,1.5,6.38,108,47.4,0.86,73,32,1.54,43,18.9,2.86,4,1.8,3.34
2017,corn,129,illinois,menard,232,3.37,7.87,74,31.9,1.22,49,21.1,1.41,65,28,5.11,44,19,6.59
2017,soybean,129,illinois,menard,236,1.75,5.4,96,40.7,0.77,71,30.1,1.4,36,15.3,2.55,33,14,4.44
2015,corn,131,illinois,mercer,239,4.2,7.4,74,31,5,28,11.7,2.5,133,55.6,4.1,4,1.7,3.8
2015,soybean,131,illinois,mercer,189,0.9,5.1,133,70.4,0.6,43,22.8,1.7,12,6.3,1.3,1,0.5,0.9
2018,corn,131,illinois,mercer,231,2.76,6.71,102,44.2,2.71,85,36.8,2.81,42,18.2,2.82,2,0.9,2.13
2018,soybean,131,illinois,mercer,194,1.27,5.64,117,60.3,0.75,63,32.5,1.95,12,6.2,2.4,2,1,3.2
2017,corn,131,illinois,mercer,246,3.33,6.97,88,35.8,2.76,31,12.6,1.83,124,50.4,4,3,1.2,7.85
2017,soybean,131,illinois,mercer,180,0.87,5.39,139,77.2,0.59,36,20,1.87,4,2.2,1.68,1,0.6,0.97
2015,corn,133,illinois,monroe,139,6.7,12.6,28,20.1,1.5,20,14.4,7.1,38,27.3,5.3,53,38.1,10.3
2015,soybean,133,illinois,monroe,111,4.4,7.1,9,8.1,0.5,18,16.2,2.4,37,33.3,4.6,47,42.3,5.7
2018,corn,133,illinois,monroe,167,4.75,12.89,4,2.4,0.81,125,74.9,3.71,22,13.2,4.95,16,9.6,13.5
2018,soybean,133,illinois,monroe,172,4.95,13.62,35,20.3,2.42,83,48.3,4.06,34,19.8,7.24,20,11.6,9.18
2017,corn,133,illinois,monroe,121,7.62,11.07,17,14,5.69,19,15.7,2.25,24,19.8,4.5,61,50.4,11.05
2017,soybean,133,illinois,monroe,184,9.46,12.06,31,16.8,4.69,10,5.4,1.74,26,14.1,5.25,117,63.6,12.33
2015,corn,135,illinois,montgomery,229,3.4,4.3,9,3.9,1,43,18.8,1,35,15.3,2.8,142,62,4.4
2015,soybean,135,illinois,montgomery,210,0.7,2.8,60,28.6,0.3,138,65.7,0.7,11,5.2,1.9,1,0.5,2.5
2018,corn,135,illinois,montgomery,236,3.52,4.06,5,2.1,0.5,5,2.1,1.44,52,22,2.47,174,73.7,3.98
2018,soybean,135,illinois,montgomery,188,1.38,3.23,40,21.3,0.37,71,37.8,0.84,57,30.3,1.64,20,10.6,4.56
2017,corn,135,illinois,montgomery,208,3.9,4.28,3,1.4,0.43,5,2.4,1.29,35,16.8,2.63,165,79.3,4.31
2017,soybean,135,illinois,montgomery,221,1.62,2.96,39,17.6,0.33,37,16.7,0.77,65,29.4,1.61,80,36.2,2.65
2015,corn,137,illinois,morgan,431,3.8,5.4,48,11.1,2,70,16.2,2.1,58,13.5,3.1,255,59.2,4.8
