Year,Crop,FIPS,State,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2015,soybean,137,illinois,morgan,312,1.9,7.7,142,45.5,1.1,112,35.9,1.9,47,15.1,3.2,11,3.5,4.4
2018,corn,137,illinois,morgan,369,4.15,6.87,57,15.4,1.32,30,8.1,2.03,127,34.4,4.26,155,42,5.52
2018,soybean,137,illinois,morgan,373,1.75,5.89,125,33.5,0.6,129,34.6,1.32,106,28.4,3.18,13,3.5,5.43
2017,corn,137,illinois,morgan,168,3.5,9.48,63,37.5,3.45,21,12.5,1.86,68,40.5,4.38,16,9.5,2.1
2017,soybean,137,illinois,morgan,147,1.24,6.57,88,59.9,0.7,42,28.6,1.85,11,7.5,2.28,6,4.1,3.08
2015,corn,139,illinois,moultrie,263,2.6,2.7,1,0.4,0.2,0,0,0,2,0.8,2.9,260,98.9,2.7
2015,soybean,139,illinois,moultrie,219,1.3,1.9,44,20.1,0.3,26,11.9,0.5,46,21,1,103,47,2
2018,corn,139,illinois,moultrie,269,2.65,2.65,1,0.4,0.13,0,0,NA,0,0,NA,268,99.6,2.66
2018,soybean,139,illinois,moultrie,232,1.27,2.32,13,5.6,0.22,51,22,1.01,165,71.1,1.41,3,1.3,2.61
2017,corn,139,illinois,moultrie,245,2.8,2.81,1,0.4,0.15,0,0,NA,0,0,NA,244,99.6,2.81
2017,soybean,139,illinois,moultrie,215,1.03,1.87,49,22.8,0.21,57,26.5,0.58,63,29.3,1.07,46,21.4,2.42
2015,corn,141,illinois,ogle,366,3.1,5.1,19,5.2,1,102,27.9,2.2,168,45.9,2.9,77,21,5.3
2015,soybean,141,illinois,ogle,163,1.5,4.4,57,34.4,0.5,66,40.5,1.6,33,20.2,2.3,7,4.3,4.8
2018,corn,141,illinois,ogle,361,3.54,5.17,36,10,0.76,69,19.1,1.99,126,34.9,3.16,130,36,5.49
2018,soybean,141,illinois,ogle,178,1.6,4.41,51,28.7,0.54,70,39.3,1.64,47,26.4,2.28,10,5.6,3.44
2017,corn,141,illinois,ogle,356,3.46,5.21,26,7.3,0.9,75,21.1,2.22,146,41,3.04,109,30.6,5.48
2017,soybean,141,illinois,ogle,185,1.77,4.11,39,21.1,0.47,74,40,1.54,55,29.7,2.23,17,9.2,4.31
2015,corn,143,illinois,peoria,274,2,5.8,88,32.1,0.7,94,34.3,1.2,68,24.8,3.6,24,8.8,5.6
2015,soybean,143,illinois,peoria,237,0.8,4,135,57,0.5,78,32.9,0.9,21,8.9,1.6,3,1.3,4.2
2018,corn,143,illinois,peoria,264,2.07,5.39,39,14.8,0.81,113,42.8,1.32,97,36.7,3.2,15,5.7,3.74
2018,soybean,143,illinois,peoria,230,0.67,3.79,148,64.3,0.4,66,28.7,0.88,13,5.7,2.09,3,1.3,3.55
2017,corn,143,illinois,peoria,264,2.26,5.6,57,21.6,0.74,91,34.5,1.26,84,31.8,3.51,32,12.1,4.57
2017,soybean,143,illinois,peoria,239,1.32,3.68,92,38.5,0.37,79,33.1,0.93,35,14.6,2.04,33,13.8,4.14
2015,corn,145,illinois,perry,152,4.8,13.6,27,17.8,3,85,55.9,3.8,32,21.1,8,8,5.3,8.8
2015,soybean,145,illinois,perry,214,3,8.6,107,50,1.7,78,36.4,3.3,22,10.3,3.7,7,3.3,15.9
2018,corn,145,illinois,perry,140,4.12,12.85,52,37.1,2.7,52,37.1,3.83,29,20.7,6.35,7,5,7.69
2018,soybean,145,illinois,perry,253,3.33,9.4,166,65.6,2.37,43,17,3.82,24,9.5,3.79,20,7.9,9.65
2017,corn,145,illinois,perry,156,4.3,14.36,50,32.1,3,80,51.3,4.19,15,9.6,7.09,11,7.1,7.21
2017,soybean,145,illinois,perry,326,2.58,9.59,190,58.3,1.49,107,32.8,3.6,20,6.1,5.14,9,2.8,7.63
2015,corn,147,illinois,piatt,351,3.6,4,0,0,0,15,4.3,0.7,83,23.6,2.2,253,72.1,4.3
2015,soybean,147,illinois,piatt,270,1.1,3.1,29,10.7,0.4,174,64.4,0.9,60,22.2,1.7,7,2.6,3.6
2018,corn,147,illinois,piatt,306,3.96,4.08,1,0.3,0.64,7,2.3,0.67,19,6.2,2.37,279,91.2,4.16
2018,soybean,147,illinois,piatt,328,1.11,3.15,45,13.7,0.32,227,69.2,0.87,42,12.8,1.96,14,4.3,4.94
2017,corn,147,illinois,piatt,310,3.79,4.02,0,0,NA,13,4.2,0.56,32,10.3,2.45,265,85.5,4.11
2017,soybean,147,illinois,piatt,305,1.23,2.94,33,10.8,0.34,178,58.4,0.81,58,19,1.83,36,11.8,3.15
2015,corn,149,illinois,pike,259,3.5,7.7,20,7.7,1.8,117,45.2,2,118,45.6,5.3,4,1.5,3.6
2015,soybean,149,illinois,pike,164,1.3,6.8,101,61.6,0.8,52,31.7,1.9,11,6.7,2.8,0,0,0
2018,corn,149,illinois,pike,255,4.94,9.27,16,6.3,1.86,75,29.4,2.43,131,51.4,6.04,33,12.9,7.76
2018,soybean,149,illinois,pike,174,1.57,6.26,67,38.5,0.91,70,40.2,1.23,26,14.9,3.28,11,6.3,3.78
2017,corn,149,illinois,pike,220,4.51,8.54,20,9.1,1.22,62,28.2,2.41,120,54.5,5.4,18,8.2,9.54
2017,soybean,149,illinois,pike,216,1.9,6.36,96,44.4,0.8,67,31,2.17,33,15.3,2.76,20,9.3,4.82
2015,corn,151,illinois,pope,46,9.7,12.7,9,19.6,3.3,3,6.5,8.9,4,8.7,11.4,30,65.2,11.5
2015,soybean,151,illinois,pope,90,2.8,7.1,46,51.1,0.8,3,3.3,1.1,6,6.7,4.7,35,38.9,5.2
2018,corn,151,illinois,pope,47,6.42,10.01,12,25.5,1.68,5,10.6,3.62,6,12.8,12.92,24,51.1,7.75
2018,soybean,151,illinois,pope,63,3.37,8.89,29,46,1.11,4,6.3,5.55,13,20.6,4.53,17,27,5.84
2017,corn,151,illinois,pope,42,7.44,12.82,15,35.7,3.36,1,2.4,22.34,0,0,NA,26,61.9,9.23
2017,soybean,151,illinois,pope,86,2.39,6.89,44,51.2,0.96,4,4.7,1.32,0,0,NA,38,44.2,4.16
2015,corn,153,illinois,pulaski,56,13.3,17.5,22,39.3,14.6,4,7.1,2.7,0,0,0,30,53.6,13.7
2015,soybean,153,illinois,pulaski,109,7.8,15.8,63,57.8,4.3,1,0.9,9.7,0,0,0,45,41.3,12.6
2018,corn,153,illinois,pulaski,46,17.16,23.61,16,34.8,8.75,0,0,NA,0,0,NA,30,65.2,21.65
2018,soybean,153,illinois,pulaski,121,6.56,16.06,86,71.1,3.72,3,2.5,1.09,1,0.8,2.67,31,25.6,15.09
2017,corn,153,illinois,pulaski,50,17.03,19.86,11,22,12.69,0,0,NA,0,0,NA,39,78,18.25
2017,soybean,153,illinois,pulaski,133,6.97,17.03,75,56.4,4.18,9,6.8,4.6,5,3.8,16.38,44,33.1,11.14
2015,corn,155,illinois,putnam,152,1.7,3.7,49,32.2,1.2,82,53.9,1.4,0,0,0,21,13.8,3.7
2015,soybean,155,illinois,putnam,70,2.6,5,15,21.4,1,33,47.1,1.6,0,0,0,22,31.4,5.1
2018,corn,155,illinois,putnam,150,0.96,4.18,54,36,0.46,71,47.3,1.08,25,16.7,1.71,0,0,NA
2018,soybean,155,illinois,putnam,79,1.03,3.63,23,29.1,0.56,45,57,1.23,11,13.9,1.23,0,0,NA
2017,corn,155,illinois,putnam,132,2.04,4.04,38,28.8,1.47,36,27.3,1.42,48,36.4,2.65,10,7.6,3.49
2017,soybean,155,illinois,putnam,88,1.43,3.64,42,47.7,1.14,20,22.7,1.37,24,27.3,1.96,2,2.3,1.88
2015,corn,157,illinois,randolph,195,10.1,13.4,23,11.8,2.8,16,8.2,3.3,52,26.7,8.6,104,53.3,13.5
2015,soybean,157,illinois,randolph,187,2.3,7,143,76.5,1.7,20,10.7,2.2,14,7.5,4.5,10,5.3,8.5
2018,corn,157,illinois,randolph,215,8.63,11.8,32,14.9,4.05,13,6,4.73,35,16.3,7.56,135,62.8,10.36
2018,soybean,157,illinois,randolph,258,3.22,9.68,216,83.7,2.93,17,6.6,3,17,6.6,5.55,8,3.1,6.6
2017,corn,157,illinois,randolph,133,6.72,11.13,8,6,3.5,10,7.5,3.42,73,54.9,5.81,42,31.6,9.69
2017,soybean,157,illinois,randolph,239,2.12,7.34,201,84.1,2.01,25,10.5,1.98,13,5.4,4.03,0,0,NA
2015,corn,159,illinois,richland,249,6.3,7,11,4.4,2.1,7,2.8,1.2,23,9.2,4.3,208,83.5,6.9
2015,soybean,159,illinois,richland,250,1.8,4,78,31.2,0.9,58,23.2,1.1,65,26,1.7,49,19.6,3.9
2018,corn,159,illinois,richland,233,5.8,6.65,27,11.6,1.01,2,0.9,0.73,10,4.3,2.87,194,83.3,6.67
2018,soybean,159,illinois,richland,257,1.84,4.79,113,44,0.65,77,30,1.57,26,10.1,2.21,41,16,5.42
2017,corn,159,illinois,richland,230,6.11,7.29,33,14.3,1.47,15,6.5,1.8,1,0.4,10.33,181,78.7,7.29
2017,soybean,159,illinois,richland,259,1.84,4.23,122,47.1,0.62,61,23.6,1.12,8,3.1,1.92,68,26.3,4.66
2018,corn,161,illinois,rock island,217,4.18,9.22,104,47.9,3.9,54,24.9,3.81,41,18.9,4.89,18,8.3,5.3
2018,soybean,161,illinois,rock island,165,2.12,8.86,118,71.5,1.54,39,23.6,2.62,6,3.6,4.11,2,1.2,20.14
2017,corn,161,illinois,rock island,219,6.36,9.79,52,23.7,5.35,40,18.3,3.85,69,31.5,6.01,58,26.5,9.41
2017,soybean,161,illinois,rock island,168,1.88,7.28,98,58.3,1.36,42,25,2.67,16,9.5,3.03,12,7.1,1.81
2015,corn,161,illinois,rockisland,213,3.7,8.6,57,26.8,3.6,96,45.1,2.8,30,14.1,4.6,30,14.1,5.6
2015,soybean,161,illinois,rockisland,166,1.3,8.3,81,48.8,1,80,48.2,1.6,4,2.4,4.3,1,0.6,1.5
2015,corn,165,illinois,saline,180,6.1,8.3,27,15,2.6,12,6.7,4.3,49,27.2,6.6,92,51.1,7.1
2015,soybean,165,illinois,saline,174,3.2,7.8,60,34.5,1.7,50,28.7,1.6,41,23.6,5.4,23,13.2,6.5
2018,corn,165,illinois,saline,108,4.67,6.8,29,26.9,4.74,16,14.8,6.4,16,14.8,3.5,47,43.5,4.43
2018,soybean,165,illinois,saline,249,2.95,6.7,157,63.1,1.88,26,10.4,1.85,32,12.9,6.04,34,13.7,5.82
2017,corn,165,illinois,saline,172,6.93,8.91,20,11.6,6.1,13,7.6,8.76,43,25,6.59,96,55.8,7
2017,soybean,165,illinois,saline,180,2.76,5.03,62,34.4,1.29,8,4.4,0.95,30,16.7,2.75,80,44.4,4.1
2015,corn,167,illinois,sangamon,253,2.9,5.3,31,12.3,1.8,28,11.1,1.2,153,60.5,3.2,41,16.2,3.8
2015,soybean,167,illinois,sangamon,222,1.1,3.6,60,27,0.6,92,41.4,0.9,69,31.1,1.8,1,0.5,8.5
2018,corn,167,illinois,sangamon,244,3.98,4.38,6,2.5,1.27,12,4.9,0.97,27,11.1,2.63,199,81.6,4.42
2018,soybean,167,illinois,sangamon,235,2.28,4.42,37,15.7,0.65,85,36.2,1.04,52,22.1,2.49,61,26,4.81
2017,corn,167,illinois,sangamon,266,3.75,4.01,3,1.1,0.73,12,4.5,0.74,15,5.6,2.25,236,88.7,4.04
2017,soybean,167,illinois,sangamon,212,2.48,3.67,19,9,0.89,57,26.9,1.01,33,15.6,1.37,103,48.6,3.94
2015,corn,169,illinois,schuyler,332,7.8,8.7,4,1.2,1,16,4.8,2.7,68,20.5,5.3,244,73.5,8.9
2015,soybean,169,illinois,schuyler,280,2.8,7,94,33.2,0.9,83,29.6,1.9,63,22.5,3.3,40,14.3,8.2
2018,corn,169,illinois,schuyler,310,7.56,9.29,40,12.9,0.96,15,4.8,1.44,16,5.2,6.66,239,77.1,9.11
2018,soybean,169,illinois,schuyler,313,1.95,6.89,133,42.5,0.91,119,38,1.65,33,10.5,3.74,27,8.6,6.26
2017,corn,169,illinois,schuyler,306,8.77,9.28,12,3.9,1.04,0,0,NA,10,3.3,4.84,284,92.8,9.23
2017,soybean,169,illinois,schuyler,317,3.61,6.87,105,33.1,0.93,28,8.8,1.92,68,21.5,3.61,116,36.6,6.45
2015,corn,171,illinois,scott,236,3.3,7.1,50,21.2,2.2,60,25.4,1.8,93,39.4,4,33,14,5.8
2015,soybean,171,illinois,scott,188,0.9,4.9,126,67,0.5,46,24.5,1.3,15,8,1.9,1,0.5,8.7
2018,corn,171,illinois,scott,235,3.11,6.96,69,29.4,1.4,13,5.5,2.38,124,52.8,3.68,29,12.3,5.03
2018,soybean,171,illinois,scott,192,1.05,5.23,116,60.4,0.56,51,26.6,1.7,24,12.5,1.9,1,0.5,5.25
2017,corn,171,illinois,scott,205,3.47,7.81,55,26.8,2.75,8,3.9,2.41,121,59,3.91,21,10.2,3.21
2017,soybean,171,illinois,scott,229,0.89,4.42,133,58.1,0.51,60,26.2,1.16,32,14,1.62,4,1.7,3.62
2015,corn,173,illinois,shelby,399,5,5.2,0,0,0,0,0,0,66,16.5,3.2,333,83.5,5.3
2015,soybean,173,illinois,shelby,375,2.4,4.4,49,13.1,0.6,81,21.6,1.9,216,57.6,2.6,29,7.7,4.9
2018,corn,173,illinois,shelby,394,4.28,4.91,0,0,NA,2,0.5,0.81,137,34.8,3.2,255,64.7,4.89
2018,soybean,173,illinois,shelby,409,2.33,4.67,22,5.4,0.63,158,38.6,1.56,199,48.7,2.84,30,7.3,4.28
2017,corn,173,illinois,shelby,410,4.26,5.36,3,0.7,0.55,31,7.6,1.66,173,42.2,3.61,203,49.5,5.26
2017,soybean,173,illinois,shelby,389,3.41,4.32,5,1.3,1.12,30,7.7,1.38,148,38,2.91,206,53,4.12
2015,corn,163,illinois,st clair,133,2.4,6.4,2,1.5,0.7,76,57.1,1.7,53,39.8,3.1,2,1.5,10.6
2018,corn,163,illinois,st clair,114,2.85,5.58,1,0.9,0.16,56,49.1,1.6,34,29.8,3.76,23,20.2,4.65
2018,soybean,163,illinois,st clair,143,1.06,3.99,40,28,0.48,77,53.8,0.89,20,14,1.88,6,4.2,4.34
2017,corn,163,illinois,st clair,147,4.29,5.92,2,1.4,0.88,26,17.7,0.99,56,38.1,3.32,63,42.9,6.63
2015,corn,175,illinois,stark,309,2.9,5,24,7.8,1,54,17.5,1.8,231,74.8,3.4,0,0,0
2015,soybean,175,illinois,stark,266,0.8,3.8,162,60.9,0.5,90,33.8,1.3,14,5.3,1.4,0,0,0
2018,corn,175,illinois,stark,321,2.73,5.21,60,18.7,0.96,50,15.6,1.97,211,65.7,3.41,0,0,NA
2018,soybean,175,illinois,stark,270,1.12,4.2,125,46.3,0.56,123,45.6,1.44,22,8.1,2.49,0,0,NA
2017,corn,175,illinois,stark,334,2.8,5.12,53,15.9,1.19,55,16.5,1.76,226,67.7,3.43,0,0,NA
2017,soybean,175,illinois,stark,261,1.12,4.14,120,46,0.6,100,38.3,1.3,41,15.7,2.23,0,0,NA
2015,soybean,163,illinois,st clair,151,0.7,3.6,104,68.9,0.4,39,25.8,1.3,8,5.3,2.3,0,0,0
2017,soybean,163,illinois,st clair,114,1.83,4.32,16,14,0.52,48,42.1,1.08,33,28.9,2.7,17,14.9,3.47
2015,corn,177,illinois,stephenson,378,3.2,5.8,79,20.9,2.8,148,39.2,2.2,92,24.3,3.6,59,15.6,5.5
2015,soybean,177,illinois,stephenson,164,1.4,5.1,84,51.2,0.6,65,39.6,1.9,9,5.5,2.5,6,3.7,4.7
2018,corn,177,illinois,stephenson,360,3.19,5.82,56,15.6,2.21,158,43.9,2.2,89,24.7,3.72,57,15.8,6.09
2018,soybean,177,illinois,stephenson,193,1.47,5.79,107,55.4,0.71,69,35.8,1.9,12,6.2,3.98,5,2.6,5.99
2017,corn,177,illinois,stephenson,368,3.71,6.29,91,24.7,2.11,81,22,2.15,71,19.3,3.55,125,34,5.97
2017,soybean,177,illinois,stephenson,179,1.85,4.82,77,43,0.63,47,26.3,1.85,23,12.8,2.13,32,17.9,4.59
2015,corn,179,illinois,tazewell,265,2.4,5.2,49,18.5,1.2,67,25.3,1,142,53.6,3.4,7,2.6,6
2015,soybean,179,illinois,tazewell,176,1.1,4,77,43.8,0.7,74,42,1.1,19,10.8,1.9,6,3.4,3.4
2018,corn,179,illinois,tazewell,222,2.45,5.09,67,30.2,1.11,28,12.6,1.34,94,42.3,3.12,33,14.9,4.25
2018,soybean,179,illinois,tazewell,225,1.33,4.22,74,32.9,0.91,94,41.8,1.08,52,23.1,2.23,5,2.2,3
2017,corn,179,illinois,tazewell,242,2.27,5.28,44,18.2,1.47,58,24,1.26,139,57.4,2.95,1,0.4,2.1
2017,soybean,179,illinois,tazewell,211,1.45,4.09,71,33.6,0.86,65,30.8,1.36,68,32.2,1.87,7,3.3,4.02
2015,corn,181,illinois,union,71,11.6,25.4,53,74.6,10.6,0,0,0,1,1.4,7.4,17,23.9,15.1
2015,soybean,181,illinois,union,82,6.6,19.5,55,67.1,4.7,0,0,0,5,6.1,6.1,22,26.8,11.4
2018,corn,181,illinois,union,72,22.05,28.86,10,13.9,6.79,14,19.4,19.51,14,19.4,22.97,34,47.2,27.2
2018,soybean,181,illinois,union,84,6.25,17.95,51,60.7,2.73,12,14.3,8.32,3,3.6,6.34,18,21.4,14.83
2017,corn,181,illinois,union,64,14.94,26.92,46,71.9,14.17,0,0,NA,1,1.6,16.69,17,26.6,16.93
2017,soybean,181,illinois,union,96,5.5,20.43,82,85.4,4.33,0,0,NA,0,0,NA,14,14.6,12.35
2015,corn,183,illinois,vermilion,227,3.3,3.8,6,2.6,0.5,4,1.8,0.5,67,29.5,2.3,150,66.1,4
2015,soybean,183,illinois,vermilion,233,0.9,2.4,76,32.6,0.3,83,35.6,0.7,58,24.9,1.3,16,6.9,2.8
2018,corn,183,illinois,vermilion,239,3.46,3.67,0,0,NA,7,2.9,0.74,25,10.5,2.52,207,86.6,3.66
2018,soybean,183,illinois,vermilion,219,1.38,2.83,9,4.1,0.32,89,40.6,0.72,87,39.7,1.59,34,15.5,2.87
2017,corn,183,illinois,vermilion,231,3.83,3.99,1,0.4,0.13,4,1.7,0.78,13,5.6,2.38,213,92.2,4
2017,soybean,183,illinois,vermilion,222,1.41,2.5,17,7.7,0.41,71,32,0.59,69,31.1,1.24,65,29.3,2.74
2015,corn,185,illinois,wabash,241,8.1,10.1,13,5.4,1.6,26,10.8,2.7,52,21.6,5.2,150,62.2,10.6
2015,soybean,185,illinois,wabash,218,1.6,5.9,107,49.1,0.7,77,35.3,1.9,24,11,3,10,4.6,4.6
2018,corn,185,illinois,wabash,216,8.19,10.3,9,4.2,0.71,32,14.8,2.81,39,18.1,6.32,136,63,10.49
2018,soybean,185,illinois,wabash,243,2.13,6.07,92,37.9,0.87,103,42.4,1.54,21,8.6,2.32,27,11.1,8.57
2017,corn,185,illinois,wabash,240,8.02,9.78,11,4.6,1.38,25,10.4,2.84,42,17.5,7.27,162,67.5,9.46
2017,soybean,185,illinois,wabash,216,2.55,6.5,108,50,0.99,36,16.7,2.29,25,11.6,4,47,21.8,5.54
2015,corn,187,illinois,warren,274,2.2,5.5,105,38.3,1,93,33.9,2.4,69,25.2,3.3,7,2.6,5.3
2015,soybean,187,illinois,warren,179,0.8,4.4,133,74.3,0.6,44,24.6,1.7,2,1.1,1.3,0,0,0
2018,corn,187,illinois,warren,229,1.66,4.95,57,24.9,1.43,75,32.8,1.71,88,38.4,1.69,9,3.9,2.38
2018,soybean,187,illinois,warren,209,0.86,4.3,90,43.1,0.78,101,48.3,0.79,15,7.2,0.9,3,1.4,1.92
2017,corn,187,illinois,warren,268,2.12,5.35,82,30.6,1.32,93,34.7,2.03,83,31,2.98,10,3.7,2.37
2017,soybean,187,illinois,warren,185,0.86,4.32,149,80.5,0.8,31,16.8,1.06,2,1.1,1.02,3,1.6,1.34
2015,corn,189,illinois,washington,273,7.9,8.1,3,1.1,1.3,3,1.1,1.7,3,1.1,3.2,264,96.7,8.1
2015,soybean,189,illinois,washington,391,3.7,4.3,20,5.1,0.6,23,5.9,1.1,33,8.4,2.1,315,80.6,4.2
2018,corn,189,illinois,washington,255,6.44,6.92,10,3.9,0.86,7,2.7,2.82,9,3.5,3.17,229,89.8,6.93
2018,soybean,189,illinois,washington,223,2.36,4.96,59,26.5,0.86,59,26.5,1.29,36,16.1,2.71,69,30.9,4.38
2017,corn,189,illinois,washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,soybean,189,illinois,washington,,,,,0,,,0,,,0,,,0,
2015,corn,191,illinois,wayne,141,5.6,8.2,24,17,1.7,17,12.1,2.4,17,12.1,4.3,83,58.9,7.6
2015,soybean,191,illinois,wayne,209,1.4,4.2,104,49.8,0.5,56,26.8,1.2,17,8.1,2,32,15.3,4.7
2018,corn,191,illinois,wayne,144,5.22,7.39,22,15.3,1.45,24,16.7,2.11,12,8.3,3.65,86,59.7,7.28
2018,soybean,191,illinois,wayne,216,2.17,5.37,123,56.9,1.06,41,19,2.03,9,4.2,2.34,43,19.9,5.46
2017,corn,191,illinois,wayne,148,5.33,7.23,22,14.9,1.42,16,10.8,2.52,11,7.4,4.1,99,66.9,6.78
2017,soybean,191,illinois,wayne,216,2.95,5.56,89,41.2,1.1,39,18.1,2.08,16,7.4,2.72,72,33.3,5.77
2015,corn,193,illinois,white,223,2.8,8.9,97,43.5,2.6,54,24.2,1.5,59,26.5,3.4,13,5.8,7.3
2015,soybean,193,illinois,white,219,0.9,5.7,163,74.4,0.7,25,11.4,1.6,22,10,1.8,9,4.1,2.4
2018,corn,193,illinois,white,170,4.68,9.07,52,30.6,1.64,15,8.8,3.13,18,10.6,5.18,85,50,6.71
2018,soybean,193,illinois,white,277,1.76,6.25,184,66.4,1.24,34,12.3,2.16,28,10.1,2.57,31,11.2,3.69
2017,corn,193,illinois,white,194,5.12,9.64,56,28.9,2.36,25,12.9,3.11,36,18.6,5.03,77,39.7,7.82
2017,soybean,193,illinois,white,261,2.19,5.9,137,52.5,1.18,22,8.4,1.87,33,12.6,2.37,69,26.4,4.2
2015,corn,195,illinois,whiteside,335,2.5,5,43,12.8,2.6,144,43,1.9,80,23.9,3.1,68,20.3,3.2
2015,soybean,195,illinois,whiteside,125,1.6,4.8,55,44,1.1,33,26.4,1.3,22,17.6,2.3,15,12,2.7
2018,corn,195,illinois,whiteside,331,2.42,5.34,42,12.7,1.19,164,49.5,2.07,66,19.9,2.83,59,17.8,3.8
2018,soybean,195,illinois,whiteside,123,1.18,4.05,47,38.2,0.56,45,36.6,1.41,26,21.1,1.71,5,4.1,2.14
2017,corn,195,illinois,whiteside,308,2.83,5.08,34,11,1.69,126,40.9,2.24,90,29.2,3.06,58,18.8,4.39
2017,soybean,195,illinois,whiteside,137,1.18,4.43,55,40.1,1.09,60,43.8,1.16,17,12.4,1.16,5,3.6,2.45
2015,corn,197,illinois,will,175,1.6,2.6,20,11.4,0.5,33,18.9,0.7,62,35.4,1.6,60,34.3,2.6
2015,soybean,197,illinois,will,178,0.6,1.7,91,51.1,0.3,64,36,0.5,18,10.1,1,5,2.8,5.1
2018,corn,197,illinois,will,169,1.25,2.24,3,1.8,0.24,65,38.5,1.07,79,46.7,1.36,22,13,1.56
2018,soybean,197,illinois,will,193,0.6,2.07,58,30.1,0.31,102,52.8,0.55,30,15.5,1.16,3,1.6,2.39
2017,corn,197,illinois,will,167,1.23,2.65,9,5.4,0.45,128,76.6,1.14,29,17.4,1.78,1,0.6,3.02
2017,soybean,197,illinois,will,194,0.66,1.91,19,9.8,0.31,154,79.4,0.59,21,10.8,1.56,0,0,NA
2015,corn,199,illinois,williamson,50,8.8,11.1,11,22,3.2,0,0,0,13,26,9.3,26,52,10.9
2015,soybean,199,illinois,williamson,93,4,8.3,36,38.7,1.8,0,0,0,27,29,5.2,30,32.3,5.7
2018,corn,199,illinois,williamson,54,7.75,10.39,10,18.5,5.56,3,5.6,8.26,11,20.4,6.88,30,55.6,8.75
2018,soybean,199,illinois,williamson,80,4.9,11.19,30,37.5,1.93,13,16.3,5.6,19,23.8,7.56,18,22.5,6.54
2017,corn,199,illinois,williamson,40,7.31,11.18,12,30,2.88,3,7.5,0.81,5,12.5,8.83,20,50,10.56
2017,soybean,199,illinois,williamson,66,5.61,11.03,33,50,3.17,3,4.5,1.28,14,21.2,8.71,16,24.2,8.73
2015,corn,201,illinois,winnebago,399,2.5,4.8,101,25.3,1.7,97,24.3,1.8,158,39.6,3.1,43,10.8,4.4
2015,soybean,201,illinois,winnebago,226,1.1,4.1,124,54.9,0.5,62,27.4,1.3,36,15.9,2,4,1.8,5.8
2018,corn,201,illinois,winnebago,386,2.37,4.9,130,33.7,1.85,114,29.5,1.79,105,27.2,3,37,9.6,4.17
2018,soybean,201,illinois,winnebago,250,1.15,4.34,132,52.8,0.78,91,36.4,1.37,25,10,1.64,2,0.8,10.06
2017,corn,201,illinois,winnebago,358,2.73,4.97,90,25.1,1.99,88,24.6,1.88,122,34.1,3.18,58,16.2,4.23
2017,soybean,201,illinois,winnebago,273,1.29,3.99,100,36.6,0.56,106,38.8,1.44,62,22.7,2.14,5,1.8,2.09
2015,corn,203,illinois,woodford,196,3.1,3.6,4,2,0.6,16,8.2,0.9,50,25.5,2.1,126,64.3,3.8
2015,soybean,203,illinois,woodford,188,1.1,2.7,71,37.8,0.3,38,20.2,0.7,47,25,1.4,32,17,2.9
2018,corn,203,illinois,woodford,190,2.72,3.69,35,18.4,0.68,15,7.9,0.53,36,18.9,2.11,104,54.7,3.93
2018,soybean,203,illinois,woodford,192,0.88,2.88,76,39.6,0.36,74,38.5,0.78,27,14.1,1.23,15,7.8,3.37
2017,corn,203,illinois,woodford,185,2.59,3.9,36,19.5,0.56,24,13,0.54,42,22.7,2.21,83,44.9,4.26
2017,soybean,203,illinois,woodford,203,0.95,2.59,86,42.4,0.25,58,28.6,0.71,35,17.2,1.69,24,11.8,2.97
